Product Name,Category,Sell Price,Condition,Language,Add Qty,Finish,ASIN,TCG Player Name, TCG Player ID
Grinning Totem,Mirage,0.66,Near Mint,English,1,Normal,B0062DW6LA,Grinning Totem,5091
Null Chamber,Mirage,1.74,Near Mint,English,1,Normal,B0062DXQ3C,Null Chamber,5164
Empyrial Plate,Mirrodin,0.59,Near Mint,English,1,Normal,B0062DWU0M,Empyrial Plate,11483
Fiery Gambit,Mirrodin,1.2,Near Mint,English,1,Normal,B0062DWX3Q,Fiery Gambit,11410
Gate to the Aether,Mirrodin,1.98,Near Mint,English,1,Normal,B0062DX25O,Gate to the Aether,11488
Timesifter,Mirrodin,2.52,Near Mint,English,1,Normal,B0062E0G7K,Timesifter,11570
Corrupted Conscience,Mirrodin Besieged,0.66,Near Mint,English,1,Normal,B0062DU4LY,Corrupted Conscience,39072
Fangren Marauder,Mirrodin Besieged,0.68,Near Mint,English,3,Normal,B004LPG900,Fangren Marauder,39064
Go for the Throat,Mirrodin Besieged,1.11,Near Mint,English,1,Normal,B004LON8IM,Go for the Throat,39087
Force of Virtue,Modern Horizons,0.55,Near Mint,English,1,Normal,B07T4JN4B2,Force of Virtue,190991
Ingenious Infiltrator,Modern Horizons,0.78,Near Mint,English,1,Normal,B07T3GS49M,Ingenious Infiltrator,191068
Counterspell,Modern Horizons 2,1.22,Near Mint,English,3,Normal,,Counterspell,238617
Dragon's Rage Channeler,Modern Horizons 2,1.18,Near Mint,English,1,Normal,,Dragon's Rage Channeler,240055
Mothdust Changeling,Modern Masters,0.58,Near Mint,English,2,Normal,B00D64HJI8,Mothdust Changeling,68326
Vivid Marsh,Modern Masters,0.61,Near Mint,English,1,Normal,B00D64IEVE,Vivid Marsh,68461
Lightning Bolt,Modern Masters 2015,0.75,Near Mint,English,3,Normal,B00X686OJY,Lightning Bolt,98503
Azorius Signet,Modern Masters 2017,0.49,Near Mint,English,1,Normal,B06XFXPQR4,Azorius Signet,128635
Goblin Assault,Modern Masters 2017,0.76,Near Mint,English,3,Normal,B06XFQY7W5,Goblin Assault,128473
Wall of Denial,Modern Masters 2017,0.37,Near Mint,English,1,Normal,B06XFY9GK5,Wall of Denial,128940
"Arixmethes, Slumbering Isle",March of the Machine: Multiverse Legends,1.43,Near Mint,English,1,Normal,,"Arixmethes, Slumbering Isle",491429
"Baral, Chief of Compliance",March of the Machine: Multiverse Legends,1.49,Near Mint,English,2,Normal,,"Baral, Chief of Compliance",491427
"Emry, Lurker of the Loch",March of the Machine: Multiverse Legends,0.88,Near Mint,English,1,Normal,,"Emry, Lurker of the Loch",490356
"Goreclaw, Terror of Qal Sisma",March of the Machine: Multiverse Legends,0.64,Near Mint,English,1,Normal,,"Goreclaw, Terror of Qal Sisma",491824
Lurrus of the Dream-Den,March of the Machine: Multiverse Legends,1.04,Near Mint,English,1,Normal,,Lurrus of the Dream-Den,491399
"Sram, Senior Edificer",March of the Machine: Multiverse Legends,1.24,Near Mint,English,2,Normal,,"Sram, Senior Edificer",491428
Blackblade Reforged,Commander: Kamigawa: Neon Dynasty,0.49,Near Mint,English,1,Normal,,Blackblade Reforged,263038
Ruthless Technomancer,Commander: Kamigawa: Neon Dynasty,2.33,Near Mint,English,2,Normal,B09SZ2B8D3,Ruthless Technomancer,262837
Whiptongue Hydra,Commander: Kamigawa: Neon Dynasty,0.69,Near Mint,English,1,Normal,,Whiptongue Hydra,263000
Army of the Damned,Commander: Streets of New Capenna,0.58,Near Mint,English,1,Normal,,Army of the Damned,269281
Body Count,Commander: Streets of New Capenna,0.87,Near Mint,English,1,Normal,,Body Count,269231
Boxing Ring,Commander: Streets of New Capenna,0.62,Near Mint,English,1,Normal,B09Z9VCYT3,Boxing Ring,269016
River's Rebuke,Commander: Streets of New Capenna,0.65,Near Mint,English,1,Normal,,River's Rebuke,269279
Seize the Spotlight - Extended Art,Commander: Streets of New Capenna,6.62,Near Mint,English,1,Normal,,Seize the Spotlight (Extended Art),270116
Threefold Signal,Commander: Streets of New Capenna,0.51,Near Mint,English,1,Normal,B09Z9VM7W2,Threefold Signal,268980
Dispatch,New Phyrexia,1.71,Near Mint,English,2,Normal,B004X18MXE,Dispatch,39443
Mental Misstep,New Phyrexia,8.67,Near Mint,English,1,Normal,B004XCGM26,Mental Misstep,39543
Dragon Roost,Onslaught,0.52,Near Mint,English,1,Normal,B0062DRVNI,Dragon Roost,10389
Grand Melee,Onslaught,1.37,Near Mint,English,1,Normal,B0062DSIJ4,Grand Melee,10530
Symbiotic Wurm,Onslaught,1.6,Near Mint,English,1,Normal,B0062DPSW4,Symbiotic Wurm,10521
Gleeful Demolition,Phyrexia: All Will Be One,1.54,Near Mint,English,1,Normal,,Gleeful Demolition,478688
Mindsplice Apparatus,Phyrexia: All Will Be One,1.18,Near Mint,English,1,Normal,,Mindsplice Apparatus,478957
Mindsplice Apparatus - Extended Art,Phyrexia: All Will Be One,1.1,Near Mint,English,1,Normal,,Mindsplice Apparatus (Extended Art),478958
Seachrome Coast,Phyrexia: All Will Be One,3.54,Near Mint,English,1,Normal,,Seachrome Coast,478314
The Seedcore,Phyrexia: All Will Be One,0.73,Near Mint,English,1,Normal,,The Seedcore,478316
Glistening Sphere - Extended Art,Commander: Phyrexia: All Will Be One,3.89,Near Mint,English,1,Normal,,Glistening Sphere (Extended Art),478745
Hexplate Wallbreaker - Extended Art,Commander: Phyrexia: All Will Be One,1.04,Near Mint,English,1,Normal,,Hexplate Wallbreaker (Extended Art),478729
Monumental Corruption,Commander: Phyrexia: All Will Be One,0.82,Near Mint,English,1,Normal,,Monumental Corruption,479271
